C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
0207.26.00;-- Pedaáos e miudezas, frescos ou refrigerados;01/04/2022;31/12/9999;Res Camex;272;2021
0207.27.00;-- Pedaáos e miudezas, congelados;01/04/2022;31/12/9999;Res Camex;272;2021
0207.4;- De patos:;01/04/2022;31/12/9999;Res Camex;272;2021
0207.41.00;-- N∆o cortadas em pedaáos, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.42.00;-- N∆o cortadas em pedaáos, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.43.00;-- F°gados gordos (foies gras), frescos ou refrigerados;01/04/2022;31/12/9999;Res Camex;272;2021
0207.44.00;-- Outras, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.45.00;-- Outras, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.5;- De gansos:;01/04/2022;31/12/9999;Res Camex;272;2021
0207.51.00;-- N∆o cortadas em pedaáos, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.52.00;-- N∆o cortadas em pedaáos, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.53.00;-- F°gados gordos (foies gras), frescos ou refrigerados;01/04/2022;31/12/9999;Res Camex;272;2021
0207.54.00;-- Outras, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.55.00;-- Outras, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.60.00;- De galinhas-d'angola (pintadas);01/04/2022;31/12/9999;Res Camex;272;2021
02.08;Outras carnes e miudezas comest°veis, frescas, refrigeradas ou congeladas.;01/04/2022;31/12/9999;Res Camex;272;2021
0208.10.00;- De coelhos ou lebres;01/04/2022;31/12/9999;Res Camex;272;2021
0208.30.00;- De primatas;01/04/2022;31/12/9999;Res Camex;272;2021
0208.40.00;"- De baleias, golfinhos e botos (mam°feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam°feros da ordem Sirenia); de ot†rias e focas, le‰es-marinhos e morsas (mam°feros da subordem Pinnipedia)";01/04/2022;31/12/9999;Res Camex;272;2021
0208.50.00;- De rÇpteis (incluindo as serpentes e as tartarugas marinhas);01/04/2022;31/12/9999;Res Camex;272;2021
0208.60.00;- De camelos e outros camel°deos (Camelidae);01/04/2022;31/12/9999;Res Camex;272;2021
0208.90.00;- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
02.09;Toucinho sem partes magras, gorduras de porco e de aves, n∆o fundidas nem extra°das de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10;- De porco;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10.1;Toucinho;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10.11;Fresco, refrigerado ou congelado;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10.2;Gordura;01/04/2022;31/12/9999;Res Camex;272;2021
0209.10.21;Fresca, refrigerada ou congelada;01/04/2022;31/12/9999;Res Camex;272;2021
